 Total Nb of available Diagnostics: ndiagt=   375
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   255 |KPPdbloc| 23 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   256 |KPPshsq | 23 |       |SM P    UR|m^2/s^2         |Local shear (V(k-1)-V(k))^2
   257 |KPPdVsq | 23 |       |SM P    UR|m^2/s^2         |Shear relative to surface (V(ksrf)-V(k))**2
   258 |KPPnuddt| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   259 |KPPnudds| 23 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   260 |KPPg_TH | 23 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   261 |KPPg_SLT| 23 |       |WM      LR|g/kg.m^3/s      |KPP non-local Flux of Salinity
   262 |KPPpfrac|  1 |       |SM P     1|                |Salt plume flux fraction penetrating mixing layer
   263 |KPPboplm|  1 |       |SM P     1|m^2/s^3         |Surface haline buoyancy forcing
   264 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   265 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   266 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   267 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   268 |GM_Kux  | 23 |   269 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   269 |GM_Kvy  | 23 |   268 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   270 |GM_Kuz  | 23 |   271 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   271 |GM_Kvz  | 23 |   270 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   272 |GM_Kwx  | 23 |   273 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   273 |GM_Kwy  | 23 |   272 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   274 |GM_Kwz  | 23 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   275 |GM_PsiX | 23 |   276 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   276 |GM_PsiY | 23 |   275 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   277 |GM_KuzTz| 23 |   278 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   278 |GM_KvzTz| 23 |   277 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   279 |GM_KwzTz| 23 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   280 |GM_ubT  | 23 |   281 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   281 |GM_vbT  | 23 |   280 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   282 |ADJkapgm| 23 |       |SMRA    MR|dJ/d[m^2/s]     |dJ/dKgm: Sensitivity to GM Intensity
   283 |ADJkapre| 23 |       |SMRA    MR|dJ/d[m^2/s]     |dJ/dKredi: Sensitivity to Redi Coefficient
   284 |DSLPuFlw|  1 |   285 |UU      M1|m^3/s           |Zonal  Down-Sloping Transport (u-component)
   285 |DSLPvFlw|  1 |   284 |VV      M1|m^3/s           |Merid. Down-Sloping Transport (v-component)
   286 |DSLP_TH | 23 |       |SMR     MR|K/s             |Pot.Temp. tendency from Down-Slope package
   287 |DSLP_SLT| 23 |       |SMR     MR|g/kg/s          |Salinity  tendency from Down-Slope package
   288 |SSH     |  1 |       |SM      M1|m               |Dynamic Sea Surface Height Anomaly
   289 |SSHIBC  |  1 |       |SM      M1|m               |Inverted Barometer (IB) Correction to Sea Surface Height
   290 |SSHNOIBC|  1 |       |SM      M1|m               |Sea Surface Height Anomaly without IB Correction (=SSH+SSHIBC)
   291 |STERICHT|  1 |       |SM      M1|m               |Steric Sea Surface Height Anomaly (=SSH-OBP)
   292 |OBP     |  1 |       |SM      M1|m               |Ocean Bottom Pressure
   293 |OBPGMAP |  1 |       |SM      M1|m               |Ocean Bottom Pressure Including Global Mean Atmospheric Pressure
   294 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   295 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   296 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   297 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   298 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   299 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   301 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   302 |SIenpa  |  1 |       |SM      M1|W/m^2           |SEAICE power input by surface wind stresses
   303 |SIenpw  |  1 |       |SM      M1|W/m^2           |SEAICE work done by ocean drag
   304 |SIenph  |  1 |       |SM      M1|W/m^2           |SEAICE power due to change in inertia
   305 |SIenpg  |  1 |       |SM      M1|W/m^2           |SEAICE work generated by gravity
   306 |SIenpi  |  1 |       |SM      M1|W/m^2           |SEAICE work done by internal stress
   307 |SIenpot |  1 |       |SM      M1|W/m^2           |SEAICE work done to change potential energy
   308 |SIpRfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in ridging by internal stresses
   309 |SIpSfric|  1 |       |SM      M1|W/m^2           |SEAICE dissipation in shearing by internal stresses
   310 |SItices |  1 |   294 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   311 |SIuice  |  1 |   312 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   312 |SIvice  |  1 |   311 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   313 |SItaux  |  1 |   314 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
   314 |SItauy  |  1 |   313 |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
   315 |SIatmTx |  1 |   316 |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
   316 |SIatmTy |  1 |   315 |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
   317 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   318 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   319 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   320 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   321 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   322 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   323 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   324 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   325 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   326 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   327 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   328 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   329 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   330 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   331 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   332 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   333 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   334 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   335 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   336 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   337 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   338 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   339 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   340 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   341 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   342 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   343 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   344 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   345 |ADVxHEFF|  1 |   346 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   346 |ADVyHEFF|  1 |   345 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   347 |DFxEHEFF|  1 |   348 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff ice thickn
   348 |DFyEHEFF|  1 |   347 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff ice thickn
   349 |ADVxAREA|  1 |   350 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   350 |ADVyAREA|  1 |   349 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   351 |DFxEAREA|  1 |   352 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   352 |DFyEAREA|  1 |   351 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   353 |ADVxSNOW|  1 |   354 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   354 |ADVySNOW|  1 |   353 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   355 |DFxESNOW|  1 |   356 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   356 |DFyESNOW|  1 |   355 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   357 |ADVxSSLT|  1 |   358 |UU      M1|g/kg.m^2/s      |Zonal      Advective Flux of seaice salinity
   358 |ADVySSLT|  1 |   357 |VV      M1|g/kg.m^2/s      |Meridional Advective Flux of seaice salinity
   359 |DFxESSLT|  1 |   360 |UU      M1|g/kg.m^2/s      |Zonal      Diffusive Flux of seaice salinity
   360 |DFyESSLT|  1 |   359 |VV      M1|g/kg.m^2/s      |Meridional Diffusive Flux of seaice salinity
   361 |SIuheff |  1 |   362 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   362 |SIvheff |  1 |   361 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   363 |SIpress |  1 |       |SM      M1|N/m             |SEAICE strength (with upper and lower limit)
   364 |SIzeta  |  1 |       |SM      M1|kg/s            |SEAICE nonlinear bulk viscosity
   365 |SIeta   |  1 |       |SM      M1|kg/s            |SEAICE nonlinear shear viscosity
   366 |SIsig1  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   367 |SIsig2  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   368 |SIshear |  1 |       |SM      M1|1/s             |SEAICE shear deformation rate
   369 |SIdelta |  1 |       |SM      M1|1/s             |SEAICE Delta deformation rate
   370 |SItensil|  1 |       |SM      M1|N/m             |SEAICE maximal tensile strength
   371 |ADJarea |  1 |       |SM A    M1|dJ/(m^2/m^2)    |dJ/darea: Sensitivity to seaice fractional ice-cover
   372 |ADJheff |  1 |       |SM A    M1|dJ/dm           |dJ/dheff: Sensitvity to seaice ice thickness
   373 |ADJhsnow|  1 |       |SM A    M1|dJ/dm           |dJ/dhsnow: Sensitivity to seaice snow thickness
   374 |ADJuice |  1 |   375 |UU A    M1|dJ/(m/s)        |dJ/duice: sensitivity to zonal ice velocity
   375 |ADJvice |  1 |   374 |VV A    M1|dJ/(m/s)        |dJ/dvice: sensitivity to meridional ice velocity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
